Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Job shop scheduling,OpenAlex,"Job-shop scheduling, the job-shop problem (JSP) or job-shop scheduling problem (JSSP) is an optimization problem in computer science and operations research. It is a variant of optimal job scheduling.",6,"https://doi.org/10.1002/job.4030120704,https://doi.org/10.1177/014920638601200412,https://doi.org/10.1037/0021-9010.86.5.856"
Microcomputer,OpenAlex,"A microcomputer is a small, relatively inexpensive computer having a central processing unit (CPU) made out of a single integrated circuit microprocessor. The computer also includes memory and input/output (I/O) circuitry together mounted on a printed circuit board (PCB).",6,"https://doi.org/10.1177/014920638901500302,https://doi.org/10.1037/0021-9010.79.6.819,https://doi.org/10.1111/j.1744-6570.1992.tb00860.x"
Middle level,OpenAlex,"The Middle Level Navigations are a network of waterways in England, primarily used for land drainage, which lie in The Fens between the Rivers Nene and Great Ouse, and between the cities of Peterborough and Cambridge. Most of the area through which they run is at or below sea level, and attempts to protect it from inundation have been carried out since 1480.",6,"https://doi.org/10.5465/256049,https://doi.org/10.1002/(sici)1099-1379(199801)19:1<67::aid-job827>3.0.co;2-y,https://doi.org/10.1111/j.2044-8325.1993.tb00521.x"
National Health Interview Survey,OpenAlex,"The National Health Interview Survey (NHIS) is an annual, cross-sectional survey intended to provide nationally representative estimates on a wide range of health status and utilization measures among the nonmilitary, noninstitutionalized population of the United States.  Each annual data set can be used to examine the disease burden and access to care that individuals and families are currently experiencing in the United States.",6,"https://doi.org/10.1037/0021-9010.77.3.363,https://doi.org/10.1037/0021-9010.82.6.900,https://doi.org/10.1037/0021-9010.81.2.178"
Need theory,OpenAlex,"Need theory, also known as three needs theory, is a motivational model and management tool proposed by psychologist David McClelland, which attempts to explain how the needs for achievement, affiliation, and power affect the actions of people. The model was developed in the 1960s, two decades after Maslow's hierarchy of needs was first proposed in the early 1940s.",6,"https://doi.org/10.1177/0149206316632058,https://doi.org/10.1016/0001-8791(82)90063-x,https://doi.org/10.1016/0001-8791(84)90007-1"
Neuropsychology,OpenAlex,Neuropsychology is a branch of psychology concerned with how a person's cognition and behavior are related to the brain and the rest of the nervous system. Professionals in this branch of psychology focus on how injuries or illnesses of the brain affect cognitive and behavioral functions.,6,"https://doi.org/10.1111/j.1744-6570.1979.tb02140.x,https://doi.org/10.1016/j.erap.2012.05.001,https://doi.org/10.1111/j.1744-6570.2008.00111_7.x"
Nonmarket forces,OpenAlex,"In economics, nonmarket forces (or non-market forces) are those acting on economic factors from outside a market system. They include organizing and correcting factors that provide order to markets and other societal institutions and organizations, as well as forces utilized by price systems other than the free price system.",6,"https://doi.org/10.1177/0149206315617241,https://doi.org/10.5465/amj.2006.23478676,https://doi.org/10.5465/amj.2011.0128"
Observational learning,OpenAlex,"Observational learning is learning that occurs through observing the behavior of others. It is a form of social learning which takes various forms, based on various processes.",6,"https://doi.org/10.1006/jvbe.2000.1753,https://doi.org/10.5465/amj.2009.0331,https://doi.org/10.5465/amj.2010.0725"
Orchestration,OpenAlex,"Orchestration is the study or practice of writing music for an orchestra (or, more loosely, for any musical ensemble, such as a concert band) or of adapting music composed for another medium for an orchestra. Also called ""instrumentation"", orchestration is the assignment of different instruments to play the different parts (e.g., melody, bassline, etc.) of a musical work.",6,"https://doi.org/10.1177/0149206310385695,https://doi.org/10.5465/amj.2015.0573,https://doi.org/10.1177/0149206321994182"
Originality,OpenAlex,"Originality is the aspect of created or invented works that distinguish them from reproductions, clones, forgeries, or substantially derivative works. The modern idea of originality is according to some scholars tied to Romanticism, by a notion that is often called romantic originality.",6,"https://doi.org/10.5465/amj.2014.0756,https://doi.org/10.1177/0149206319827088,https://doi.org/10.1002/job.1923"
Paid work,OpenAlex,"Wage labour (also wage labor in American English), usually referred to as paid work, paid employment, or paid labour, refers to the socioeconomic relationship between a worker and an employer in which the worker sells their labour power under a formal or informal employment contract. These transactions usually occur in a labour market where wages or salaries are market-determined.",6,"https://doi.org/10.1348/096317910x485737,https://doi.org/10.1016/j.jvb.2019.103336,https://doi.org/10.1002/job.4030090103"
Political risk,OpenAlex,"Political risk is a type of risk faced by investors, corporations, and governments that political decisions, events, or conditions will significantly affect the profitability of a business actor or the expected value of a given economic action. Political risk can be understood and managed with reasoned foresight and investment.",6,"https://doi.org/10.5465/amj.2009.37315470,https://doi.org/10.2307/3069310,https://doi.org/10.5465/amj.2008.30679060"
Precedent,OpenAlex,"Precedent is a judicial decision that serves as an authority for courts when deciding subsequent identical or similar cases. Fundamental to common law legal systems, precedent operates under the principle of stare decisis (""to stand by things decided""), where past judicial decisions serve as case law to guide future rulings, thus promoting consistency and predictability.",6,"https://doi.org/10.1037/0021-9010.80.5.587,https://doi.org/10.1177/014920630302900202,https://doi.org/10.1037//0021-9010.80.5.587"
Production manager,OpenAlex,"Production management or production manager may refer to:  Manufacturing process management, technologies and methods used to define how products are to be manufactured Production management (performing arts), responsible for overseeing and coordinating the production of live events Unit production manager, responsible for performing various job duties given by the line producer in a film or television show production office. Related terms include production coordinator, production supervisor, executive in charge of production, and in some cases production manager.",6,"https://doi.org/10.5465/255365,https://doi.org/10.2307/255365,https://doi.org/10.2307/255219"
Queen (butterfly),OpenAlex,"The queen butterfly (Danaus gilippus) is a North and South American butterfly in the family Nymphalidae with a wingspan of 80–85 mm (3+1⁄8–3+3⁄8 in). It is orange or brown with black wing borders and small white forewing spots on its dorsal wing surface, and reddish ventral wing surface fairly similar to the dorsal surface.",6,"https://doi.org/10.5465/amj.2008.30708624,https://doi.org/10.1002/job.4030090405,https://doi.org/10.1002/job.4030150209"
Raven's Progressive Matrices,OpenAlex,Raven's Progressive Matrices (often referred to simply as Raven's Matrices) or RPM is a non-verbal test typically used to measure general human intelligence and abstract reasoning and is regarded as a non-verbal estimate of fluid intelligence. It is one of the most common tests administered to both groups and individuals ranging from 5-year-olds to the elderly.,6,"https://doi.org/10.1037/0021-9010.74.4.561,https://doi.org/10.1037/0021-9010.91.4.979,https://doi.org/10.1037/0021-9010.76.1.106"
Recognition memory,OpenAlex,"Recognition memory, a subcategory of explicit memory, is the ability to recognize previously encountered events, objects, or people. When the previously experienced event is reexperienced, this environmental content is matched to stored memory representations, eliciting matching signals.",6,"https://doi.org/10.1037/0021-9010.82.3.416,https://doi.org/10.1037/0021-9010.81.5.587,https://doi.org/10.1037/0021-9010.84.1.42"
Resentment,OpenAlex,"Resentment (also called ranklement or bitterness) is a complex, multilayered emotion that has been described as a mixture of disappointment, disgust and anger. Other psychologists consider it a mood or as a secondary emotion (including cognitive elements) that can be elicited in the face of insult or injury.",6,"https://doi.org/10.1111/j.1744-6570.1998.tb00257.x,https://doi.org/10.1111/joop.12323,https://doi.org/10.1037/apl0000947"
Reverse discrimination,OpenAlex,"Reverse discrimination is a term used to describe discrimination against members of a dominant or majority group, in favor of members of a minority or historically disadvantaged group. Reverse discrimination based on race or ethnicity is also called reverse racism.",6,"https://doi.org/10.1037/0021-9010.91.5.1013,https://doi.org/10.1111/j.1744-6570.2008.00110.x,https://doi.org/10.1037/0021-9010.63.3.309"
Risk aversion (psychology),OpenAlex,"Risk aversion is a preference for a sure outcome over a gamble with higher or equal expected value. Conversely,  rejection of a sure thing in favor of a gamble of lower or equal expected value is known as risk-seeking behavior.",6,"https://doi.org/10.5465/amj.2012.0393,https://doi.org/10.1037/0021-9010.90.5.980,https://doi.org/10.5465/amj.2015.0355"
Risk–return spectrum,OpenAlex,"The risk–return spectrum (also called the risk–return tradeoff or risk–reward) is the relationship between the amount of return gained on an investment and the amount of risk undertaken in that investment. The more return sought, the more risk that must be undertaken.",6,"https://doi.org/10.2307/256632,https://doi.org/10.5465/256502,https://doi.org/10.5465/256370"
Selective attention,OpenAlex,"Attentional control, commonly referred to as concentration, refers to an individual's capacity to choose what they pay attention to and what they ignore. It is also known as endogenous attention or executive attention.",6,"https://doi.org/10.1037/0021-9010.63.3.366,https://doi.org/10.1016/j.erap.2010.10.003,https://doi.org/10.1037//0021-9010.69.4.589"
Service level objective,OpenAlex,A service-level objective (SLO) is a target value or range of values for a service level that is measured by an SLI. An SLO is a key element of a service-level agreement (SLA) between a service provider and a customer. SLOs are agreed upon as a means of measuring the performance of the service provider and are outlined as a way of avoiding disputes between the two parties based on misunderstanding.,6,"https://doi.org/10.1037/0021-9010.83.2.150,https://doi.org/10.1111/j.1744-6570.1996.tb02451.x,https://doi.org/10.1037/0021-9010.88.1.179"
Service recovery,OpenAlex,"Service recovery is an organization's resolution of problems from dissatisfied customers, converting those customers into loyal customers. It is the action a service provider takes in response to service failure.",6,"https://doi.org/10.2307/3069445,https://doi.org/10.1037/0021-9010.92.2.475,https://doi.org/10.5465/3069445"
Sexual coercion,OpenAlex,"Rape is a type of sexual assault involving sexual intercourse, or other forms of sexual penetration, carried out against a person without their  consent. The act may be carried out by physical force, coercion, abuse of authority, or against a person who is incapable of giving valid consent, such as one who is unconscious, incapacitated, has an intellectual disability, or is below the legal age of consent (statutory rape).",6,"https://doi.org/10.1037/0021-9010.86.5.914,https://doi.org/10.1006/jvbe.1995.1033,https://doi.org/10.1016/0001-8791(89)90032-8"
Social anxiety,OpenAlex,"Social anxiety is the anxiety and fear specifically linked to being in social settings (i.e., interacting with others). Some categories of disorders associated with social anxiety include anxiety disorders, mood disorders, autism spectrum disorders, eating disorders, and substance use disorders.",6,"https://doi.org/10.1111/j.1744-6570.2004.00002.x,https://doi.org/10.1016/j.jvb.2006.05.002,https://doi.org/10.1016/j.erap.2013.08.001"
Socially distributed cognition,OpenAlex,"Distributed cognition is an approach to cognitive science research that was developed by cognitive anthropologist Edwin Hutchins during the 1990s. From cognitive ethnography, Hutchins argues that mental representations, which classical cognitive science held are within the individual brain, are actually distributed in sociocultural systems that constitute the tools to think and perceive the world.",6,"https://doi.org/10.1002/job.82,https://doi.org/10.5465/amj.2010.0890,https://doi.org/10.1002/job.83"
State ownership,OpenAlex,"State ownership, also called public ownership or government ownership, is the ownership of an industry, asset, property, or enterprise by the  national government of a country or state, or a public body representing a community, as opposed to an individual or private party. Public ownership specifically refers to industries selling goods and services to consumers and differs from public goods and government services financed out of a government's general budget.",6,"https://doi.org/10.1177/0149206318822113,https://doi.org/10.1177/0149206318764296,https://doi.org/10.1177/0149206320988356"
Stewardship (theology),OpenAlex,"Stewardship is a theological belief that humans are responsible for the world, humanity, and the gifts and resources that they have been entrusted. Believers in stewardship are usually people who believe in one God who created the universe and all that is within it, also believing that they must take care of creation and look after it.",6,"https://doi.org/10.5465/30040615,https://doi.org/10.2307/30040615,https://doi.org/10.5465/amj.2016.0765"
Subconscious,OpenAlex,"In psychology, the subconscious is the part of the mind that is not currently of focal awareness. The term was already popularized in the early 20th century in areas ranging from psychology, religion and spirituality.",6,"https://doi.org/10.5465/amj.2011.1009,https://doi.org/10.1037/0021-9010.91.5.1172,https://doi.org/10.1037/a0019298"
Tardiness,OpenAlex,"Tardiness is the habit of being late or delaying arrival. Being late as a form of misconduct may be formally punishable in various arrangements, such as workplace, school, etc.",6,"https://doi.org/10.1002/job.4030120704,https://doi.org/10.1177/014920638601200412,https://doi.org/10.1037/0021-9010.86.5.856"
Theory X and Theory Y,OpenAlex,"Theory X and Theory Y are theories of human work motivation and management. They were created by Douglas McGregor while he was working at the MIT Sloan School of Management in the 1950s, and developed further in the 1960s.",6,"https://doi.org/10.1002/job.322,https://doi.org/10.1002/(sici)1099-1379(199801)19:1<15::aid-job816>3.0.co;2-c,https://doi.org/10.1177/014920639502100106"
Workplace safety,OpenAlex,Workplace safety may refer to:,6,"https://doi.org/10.1037/0021-9010.90.1.77,https://doi.org/10.1002/(sici)1099-1379(199903)20:2<185::aid-job892>3.0.co;2-c,https://doi.org/10.1037/a0021838"
Abortion,OpenAlex,"Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus. The unmodified word abortion generally refers to induced abortion, or deliberate actions to end a pregnancy.",5,"https://doi.org/10.1037/0021-9010.61.3.301,https://doi.org/10.1037//0021-9010.61.3.301,https://doi.org/10.1037/apl0001348"
Abuse of power,OpenAlex,"Abuse of power or abuse of authority, in the form of ""malfeasance in office"" or ""official abuse of power"", is the commission of an unlawful act, done in an official capacity, which affects the performance of official duties. Malfeasance in office is often a just cause for removal of an elected official by statute or recall election.",5,"https://doi.org/10.5465/amj.2011.0977,https://doi.org/10.5465/amj.2015.1061,https://doi.org/10.5465/amj.2015.0866"
Alcohol intoxication,OpenAlex,"Alcohol intoxication, commonly described in higher doses as drunkenness or inebriation, and known in overdose as alcohol poisoning, is the behavior and physical effects caused by recent consumption of alcohol. The technical term intoxication in common speech may suggest that a large amount of alcohol has been consumed, leading to accompanying physical symptoms and deleterious health effects.",5,"https://doi.org/10.1037/0021-9010.75.3.268,https://doi.org/10.1037/0021-9010.77.4.515,https://doi.org/10.1037/h0054029"
Anagrams,OpenAlex,"An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. For example, the word anagram itself can be rearranged into the phrase ""nag a ram""; which is an Easter egg suggestion in Google after searching for the word ""anagram"".",5,"https://doi.org/10.1016/0001-8791(87)90019-4,https://doi.org/10.1177/014920638501100108,https://doi.org/10.1177/014920639502100104"
Atlanta,OpenAlex,Atlanta is the capital and most populous city of the U.S. state of Georgia. It is the county seat of Fulton County and extends into neighboring DeKalb County.,5,"https://doi.org/10.2307/255777,https://doi.org/10.5465/255777,https://doi.org/10.5465/amj.1958.5065424"
Attribution bias,OpenAlex,"In psychology, an attribution bias or attributional errors is a cognitive bias that refers to the systematic errors made when people evaluate or try to find reasons for their own and others' behaviors. It refers to the systematic patterns of deviation from norm or rationality in judgment, often leading to perceptual distortions, inaccurate assessments, or illogical interpretations of events and behaviors.",5,"https://doi.org/10.1111/j.1744-6570.1986.tb00593.x,https://doi.org/10.1177/014920638601200403,https://doi.org/10.1002/job.4030110502"
Autocracy,OpenAlex,"Autocracy is a form of government in which absolute power is held by one person, known as an autocrat. It includes both absolute monarchies and dictatorships, while it is contrasted with democracy and other forms of free government.",5,"https://doi.org/10.1037/a0016253,https://doi.org/10.1002/job.4030150509,https://doi.org/10.1111/peps.12400"
Breast cancer,OpenAlex,"Breast cancer is a cancer that develops from breast tissue. Signs of breast cancer may include: a lump in the breast, a change in breast shape, dimpling of the skin, milk rejection, fluid coming from the nipple, a newly inverted nipple, or a red or scaly patch of skin.",5,"https://doi.org/10.1037/0021-9010.74.5.787,https://doi.org/10.1016/j.erap.2021.100714,https://doi.org/10.1016/j.erap.2008.12.002"
Brewing,OpenAlex,"Brewing is the production of beer by steeping a starch source (commonly cereal grains, the most popular of which is barley) in water and fermenting the resulting sweet liquid with yeast.  It may be done in a brewery by a commercial brewer, at home by a homebrewer, or communally.",5,"https://doi.org/10.2307/255702,https://doi.org/10.1177/0149206318773411,https://doi.org/10.5465/255702"
Business analysis,OpenAlex,"Business analysis is a professional discipline focused on identifying business needs and determining solutions to business problems. Solutions may include a software-systems development component, process improvements, or organizational changes, and may involve extensive analysis, strategic planning and policy development.",5,"https://doi.org/10.1177/0149206311406265,https://doi.org/10.1037/0021-9010.92.6.1481,https://doi.org/10.1016/j.jvb.2007.12.005"
Business process,OpenAlex,"A business process, business method, or business function is a collection of related, structured activities or tasks performed by people or equipment in which a specific sequence produces a service or product (that serves a particular business goal) for a particular customer or customers. Business processes occur at all organizational levels and may or may not be visible to the customers.",5,"https://doi.org/10.1177/0149206311406265,https://doi.org/10.5465/amj.2010.49388795,https://doi.org/10.5465/amj.2007.28166117"
Child abuse,OpenAlex,"Child abuse (also called child endangerment or child maltreatment) is physical, sexual, emotional and/or psychological maltreatment or neglect of a child, especially by a parent or a caregiver. Child abuse may include any act or failure to act by a parent or a caregiver that results in actual or potential wrongful harm to a child and can occur in a child's home, or in organizations, schools, or communities the child interacts with.",5,"https://doi.org/10.1037/0021-9010.86.5.997,https://doi.org/10.1111/joop.12034,https://doi.org/10.1037/0021-9010.85.1.38"
Classical test theory,OpenAlex,"Classical test theory (CTT) is a body of related psychometric theory that predicts outcomes of psychological testing such as the difficulty of items, precision of estimates, or the ability of test-takers. It is a theory of testing based on the idea that a person's observed or obtained score on a test is the sum of a true score (error-free score) and an error score.",5,"https://doi.org/10.1037/0021-9010.87.3.517,https://doi.org/10.1037/apl0000954,https://doi.org/10.1037/apl0000026"
Coal mining,OpenAlex,Coal mining is the process of extracting coal from the ground or from a mine. Coal is valued for its energy content and since the 1880s has been widely used to generate electricity.,5,"https://doi.org/10.1037/0021-9010.73.1.81,https://doi.org/10.2307/255432,https://doi.org/10.1016/j.jvb.2020.103461"
Cognitive map,OpenAlex,"A cognitive map is a type of mental representation used by an individual to order their personal store of  information about their everyday or metaphorical spatial environment, and the relationship of its component parts. The concept was introduced by Edward Tolman in 1948.",5,"https://doi.org/10.5465/amj.2016.0625,https://doi.org/10.2307/256515,https://doi.org/10.1006/jvbe.1993.1048"
Computerized adaptive testing,OpenAlex,"Computerized adaptive testing (CAT) is a form of computer-based test that adapts to the examinee's ability level. For this reason, it has also been called tailored testing.",5,"https://doi.org/10.1037/0021-9010.86.5.965,https://doi.org/10.1037/0021-9010.87.2.320,https://doi.org/10.1037//0021-9010.86.5.965"
Control variates,OpenAlex,The control variates method is a variance reduction technique used in Monte Carlo methods. It exploits information about the errors in estimates of known quantities to reduce the error of an estimate of an unknown quantity.,5,"https://doi.org/10.1037/0021-9010.74.3.456,https://doi.org/10.1037/0021-9010.73.2.316,https://doi.org/10.1037/0021-9010.66.5.535"
Cued recall,OpenAlex,"Recall in memory refers to the mental process of retrieving information from the past. Along with encoding and storage, it is one of the three core processes of memory.",5,"https://doi.org/10.1037/0021-9010.79.1.108,https://doi.org/10.1037/0021-9010.82.4.562,https://doi.org/10.1037/0021-9010.87.2.293"
Cultural group selection,OpenAlex,"Cultural group selection is an explanatory model within cultural evolution of how cultural traits evolve according to the competitive advantage they bestow upon a group. This multidisciplinary approach to the question of human culture engages research from the fields of anthropology, behavioural economics, evolutionary biology, evolutionary game theory, sociology, and psychology.",5,"https://doi.org/10.1016/0149-2063(94)90007-8,https://doi.org/10.1037/0021-9010.88.3.476,https://doi.org/10.1177/014920639402000307"
Defining Issues Test,OpenAlex,The Defining Issues Test is a component model of moral development devised by James Rest in 1974. The University of Minnesota formally established the  Center for the Study of Ethical Development as a vehicle for research around this test in 1982.,5,"https://doi.org/10.1037/0021-9010.87.2.304,https://doi.org/10.5465/256035,https://doi.org/10.2307/256035"
Deliberation,OpenAlex,"Deliberation is a process of thoughtfully weighing options, for example prior to voting. Deliberation emphasizes the use of logic and reason as opposed to power-struggle, creativity, or dialogue.",5,"https://doi.org/10.1002/job.764,https://doi.org/10.1177/0149206312471392,https://doi.org/10.1111/joop.12217"
Disordered eating,OpenAlex,"Disordered eating describes a variety of abnormal eating behaviors that, by themselves, do not warrant diagnosis of an eating disorder. Disordered eating includes behaviors that are common features of eating disorders, such as:  Chronic restrained eating.",5,"https://doi.org/10.1016/j.erap.2013.08.001,https://doi.org/10.1016/j.erap.2017.02.004,https://doi.org/10.1016/j.erap.2016.06.005"
Drug usage,OpenAlex,Drug use may refer to any drug use; or:,5,"https://doi.org/10.1037/0021-9010.73.4.595,https://doi.org/10.1037//0021-9010.73.4.595,https://doi.org/10.1037//0021-9010.86.2.337"
Empathic concern,OpenAlex,"Empathic concern refers to other-oriented emotions elicited by, and congruent with the perceived welfare of, someone in need. These other-oriented emotions include feelings of tenderness, sympathy, compassion and soft-heartedness.",5,"https://doi.org/10.1177/0149206308328509,https://doi.org/10.1037/apl0000307,https://doi.org/10.1111/peps.12359"
Expansive,OpenAlex,Expansivity may refer to:,5,"https://doi.org/10.1037/0021-9010.87.4.611,https://doi.org/10.5465/amj.2007.27169153,https://doi.org/10.1002/job.340"
Gainful employment,OpenAlex,"Broadly, gainful employment refers to an employment situation where the employee receives steady work, payment from the employer and that allows for self-sufficiency. In psychology, the term refers to a positive psychology concept that explores the benefits of work and employment.",5,"https://doi.org/10.1016/0001-8791(80)90037-8,https://doi.org/10.1016/0001-8791(84)90014-9,https://doi.org/10.1037/h0034716"
Geographical distance,OpenAlex,"Geographical distance or geodetic distance is the distance measured along the surface of the Earth, or the shortest arc length.  The formulae in this article calculate distances between points which are defined by geographical coordinates in terms of latitude and longitude.",5,"https://doi.org/10.5465/amj.2010.54533233,https://doi.org/10.5465/amj.2012.0585,https://doi.org/10.1111/joop.12047"
Health promotion,OpenAlex,"Health promotion is, as stated in the 1986 World Health Organization (WHO) Ottawa Charter for Health Promotion, the ""process of enabling people to increase control over, and to improve their health.""   == Scope == The WHO's 1986 Ottawa Charter for Health Promotion and then the 2005 Bangkok Charter for Health Promotion in a Globalized World defines health promotion as ""the process of enabling people to increase control over their health and its determinants, and thereby improve their health"". Health promotion is a multifaceted approach that goes beyond individual behavior change.",5,"https://doi.org/10.1037/a0021838,https://doi.org/10.1002/job.561,https://doi.org/10.1111/j.1744-6570.1992.tb00842.x"
Inclusion–exclusion principle,OpenAlex,"In combinatorics, the inclusion–exclusion principle is a counting technique which generalizes the familiar method of obtaining the number of elements in the union of two finite sets; symbolically expressed as                                    |                  A         ∪         B                    |                  =                    |                  A                    |                  +                    |                  B                    |                  −                    |                  A         ∩         B                    |                          {\displaystyle |A\cup B|=|A|+|B|-|A\cap B|}     where A and B are two finite sets and |S| indicates the cardinality of a set S (which may be considered as the number of elements of the set, if the set is finite). The formula expresses the fact that the sum of the sizes of the two sets may be too large since some elements may be counted twice.",5,"https://doi.org/10.1177/0149206310385943,https://doi.org/10.1037/a0036708,https://doi.org/10.1016/j.jvb.2017.11.002"
Intellectual ability,OpenAlex,"Intellect is a faculty of the human mind that enables reasoning, abstraction, conceptualization, and judgment. It enables the discernment of truth and falsehood, as well as higher-order thinking beyond immediate perception.",5,"https://doi.org/10.1037/0021-9010.86.4.718,https://doi.org/10.1037/h0042012,https://doi.org/10.1016/0001-8791(89)90030-4"
Knowledge worker,OpenAlex,"A knowledge worker is a worker whose main capital is their knowledge and expertise. Examples of such professionals include ICT professionals, physicians, pharmacists, architects, engineers, mathematicians, scientists, designers, public accountants, lawyers, librarians, archivists, editors, and academics, whose job is to ""think for a living"".",5,"https://doi.org/10.1002/job.737,https://doi.org/10.1002/job.2364,https://doi.org/10.1037/a0037834"
Labor disputes,OpenAlex,"A labor dispute is a disagreement between an employer and employees regarding the terms of employment. This could include disputes regarding conditions of employment, fringe benefits, hours of work, tenure, and wages to be negotiated during collective bargaining, imposed through interest arbitration, or the implementation of already agreed upon terms.",5,"https://doi.org/10.5465/amj.2007.24161853,https://doi.org/10.1037/0021-9010.93.4.806,https://doi.org/10.1111/j.1744-6570.1987.tb00615.x"
Log-linear model,OpenAlex,"A log-linear model is a mathematical model that takes the form of a function whose logarithm equals a linear combination of the parameters of the model, which makes it possible to apply (possibly multivariate) linear regression. That is, it has the general form                         exp         ⁡                    (                        c             +                            ∑                                i                                                        w                                i                                                        f                                i                                         (             X             )                      )                          {\displaystyle \exp \left(c+\sum _{i}w_{i}f_{i}(X)\right)}    , in which the fi(X) are quantities that are functions of the variable X, in general a vector of values, while c and the wi stand for the model parameters.",5,"https://doi.org/10.1177/014920639602200207,https://doi.org/10.1016/s0149-2063(96)90052-5,https://doi.org/10.1016/0001-8791(75)90065-2"
Loyalty business model,OpenAlex,"The loyalty business model is a business model used in strategic management in which a company's resources are employed so as to increase the loyalty of customers and other stakeholders in the expectation that corporate objectives will be met or surpassed. A typical example of this type of model is where quality of product or service leads to customer satisfaction, which leads to customer loyalty, which leads to profitability.",5,"https://doi.org/10.1037/0021-9010.90.6.1217,https://doi.org/10.1037/0021-9010.92.2.475,https://doi.org/10.1037/0021-9010.91.2.365"
Markov chain Monte Carlo,OpenAlex,"In statistics, Markov chain Monte Carlo (MCMC) is a class of algorithms used to draw samples from a probability distribution. Given a probability distribution, one can construct a Markov chain whose elements' distribution approximates it – that is, the Markov chain's equilibrium distribution matches the target distribution.",5,"https://doi.org/10.1037/0021-9010.74.3.456,https://doi.org/10.1037/0021-9010.73.2.316,https://doi.org/10.1037/0021-9010.66.5.535"
Maternity leave,OpenAlex,"Parental leave, or family leave, is an employee benefit available in almost all countries. The term ""parental leave"" may include maternity, paternity, and adoption leave; or may be used distinctly from ""maternity leave"" and ""paternity leave"" to describe separate family leave available to either parent to care for their own children.",5,"https://doi.org/10.1348/096317906x110322,https://doi.org/10.1037/apl0000327,https://doi.org/10.1177/01492063221086243"
Mental arithmetic,OpenAlex,"Mental calculation (also known as mental computation) consists of arithmetical calculations made by the mind, within the brain, with no help from any supplies (such as pencil and paper) or devices such as a calculator. People may use mental calculation when computing tools are not available, when it is faster than other means of calculation (such as conventional educational institution methods), or even in a competitive context.",5,"https://doi.org/10.1037/0021-9010.75.4.399,https://doi.org/10.1037/0021-9010.63.4.446,https://doi.org/10.1037/h0072351"
Metamemory,OpenAlex,"Metamemory or Socratic awareness, a type of metacognition, is both the introspective knowledge of one's own memory capabilities (and strategies that can aid memory) and the processes involved in memory self-monitoring. This self-awareness of memory has important implications for how people learn and use memories.",5,"https://doi.org/10.1037/0021-9010.86.2.207,https://doi.org/10.1037/0021-9010.88.2.195,https://doi.org/10.1037/0021-9010.86.1.93"
Modern portfolio theory,OpenAlex,"Modern portfolio theory (MPT), or mean-variance analysis, is a mathematical framework for assembling a portfolio of assets such that the expected return is maximized for a given level of risk. It is a formalization and extension of diversification in investing, the idea that owning different kinds of financial assets is less risky than owning only one type.",5,"https://doi.org/10.2307/256772,https://doi.org/10.5465/256772,https://doi.org/10.1177/014920639201800407"
Moral hazard,OpenAlex,"In economics, a moral hazard is a situation where an economic actor has an incentive to increase its exposure to risk because it will not bear the full costs associated with that risk. For example, when a corporation is insured, it may take on higher risk knowing that its insurance will pay the associated costs.",5,"https://doi.org/10.1002/job.307,https://doi.org/10.5465/amj.2006.21794666,https://doi.org/10.1037/a0031697"
Multiple choice,OpenAlex,"Multiple choice, multiple choice question, or objective response is a form of an objective assessment in which respondents are asked to select only the correct answer from the choices offered as a list. The multiple choice format is most frequently used in educational testing, in market research, and in elections, when a person chooses between multiple candidates, parties, or policies.",5,"https://doi.org/10.1111/j.1744-6570.1991.tb00690.x,https://doi.org/10.1111/j.1744-6570.1994.tb01579.x,https://doi.org/10.1016/0001-8791(76)90013-0"
Narrative criticism,OpenAlex,Narrative criticism focuses on the stories a speaker or a writer tells to understand how they help us make meaning out of our daily human experiences. Narrative theory is a means by which we can comprehend how we impose order on our experiences and actions by giving them a narrative form.,5,"https://doi.org/10.1016/j.jvb.2003.12.010,https://doi.org/10.5465/amj.2018.0042,https://doi.org/10.1177/014920639802400604"
Negative mood,OpenAlex,"In linguistics and grammar, affirmation (abbreviated AFF) and negation (NEG) are ways in which grammar encodes positive and negative polarity into verb phrases, clauses, or utterances. An affirmative (positive) form is used to express the validity or truth of a basic assertion, while a negative form expresses its falsity.",5,"https://doi.org/10.1037/0021-9010.90.2.295,https://doi.org/10.1348/096317905x40105,https://doi.org/10.1037/a0026097"
Noise effects,OpenAlex,No exact Wikipedia match found.,5,"https://doi.org/10.1037/0021-9010.63.3.360,https://doi.org/10.1037/h0037336,https://doi.org/10.1037/h0072423"
Opinion poll,OpenAlex,"An opinion poll, often simply referred to as a survey or a poll, is a human research survey of public opinion from a particular sample. Opinion polls are usually designed to represent the opinions of a population by conducting a series of questions and then extrapolating generalities in ratio or within confidence intervals.",5,"https://doi.org/10.1037/h0061199,https://doi.org/10.1037/h0057996,https://doi.org/10.1037/h0060067"
Pareto optimal,OpenAlex,"In welfare economics, a Pareto improvement formalizes the idea of an outcome being ""better in every possible way"". A change is called a Pareto improvement if it leaves at least one person in society better off without leaving anyone else worse off than they were before.",5,"https://doi.org/10.1037/0021-9010.92.5.1380,https://doi.org/10.1037/a0023298,https://doi.org/10.1037/apl0001145"
